halte,pi_dense,pi_band,selisih
1,0.07120743034055799,0.07120743034055799,0.0
2,0.07694906600807233,0.0769490660080723,2.7755575615628914e-17
3,0.07705395785925367,0.07705395785925366,1.3877787807814457e-17
4,0.07501654684501959,0.07501654684501959,0.0
5,0.07438764849961779,0.07438764849961778,1.3877787807814457e-17
6,0.0760438941996628,0.0760438941996628,0.0
7,0.07752801160734407,0.07752801160734406,1.3877787807814457e-17
8,0.07491027309180211,0.0749102730918021,1.3877787807814457e-17
9,0.06589862085821499,0.06589862085821499,0.0
10,0.05205125144606032,0.052051251446060307,1.3877787807814457e-17
11,0.03850718939166838,0.038507189391668376,6.938893903907228e-18
12,0.03128143631647254,0.03128143631647253,6.938893903907228e-18
13,0.033794282980832896,0.033794282980832896,0.0
14,0.044843346228653866,0.04484334622865387,6.938893903907228e-18
15,0.059319613986210024,0.05931961398621003,6.938893903907228e-18
16,0.07120743034055671,0.07120743034055672,1.3877787807814457e-17
